,od,p
agency,0.9956725906660887,1.0
communality,1.0456788002258168,0.7188750057385198
grindstone,1.5597205228190145,0.0022411434031330427
standout,0.7957476166002232,0.04298331349231125
social,0.9023622047244094,1.0
radiology,0.81369805302278,0.5818591084794906
keen_good,0.33781152647975077,0.45902297647342405
