,od,p
agency,1.0143322583251912,0.8061417613915993
communality,0.952893779342723,0.5079969886341218
grindstone,0.7610985298738916,0.0028598704895806434
standout,1.1017588839168202,0.1301793695553141
social,1.1738044584219776,0.5380326272226974
radiology,1.5167893397274004,0.017608763137178705
