,od,p
agency,0.9918914259175464,0.8830225042764923
communality,1.1885957134989202,0.004683749056222226
grindstone,1.1078956476848076,0.17698583490296566
standout,0.805565695819798,0.0003818824292602786
social,0.9412213740458015,0.9105589799488378
radiology,1.136458083593063,0.42594572625237337
keen_good,0.6141562685680333,0.2549541810485628
