,od,p
agency,0.9863441683391612,0.8158973343855325
communality,1.2670425512401133,0.0009570303676377618
grindstone,0.9806231750926807,0.856161980767019
standout,0.8016679140382765,0.002309081183990289
social,0.9315861869253602,0.8927713406272954
radiology,1.2727272727272727,0.20540229276352018
keen_good,0.7195949705129632,0.5819458705256381
